county,station,date,rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir,sun,vis,clht,clamt
Mayo,BELMULLET,1995-12,58.2,4.83,3.93,2.5,7.59,85.21,1015.84,10.96,121.69,0.08,25177.82,434.7,4.95
Mayo,BELMULLET,1996-01,104.0,6.3,5.34,3.94,8.33,85.19,1002.29,13.69,136.09,0.05,21866.94,269.35,6.02
Mayo,BELMULLET,1996-02,122.6,5.24,3.96,2.05,7.2,80.59,1012.61,13.02,190.91,0.14,27718.39,360.93,5.19
Mayo,BELMULLET,1996-03,56.8,6.16,4.96,3.26,7.81,82.3,1017.54,11.12,115.78,0.09,23583.6,223.1,6.27
Mayo,BELMULLET,1996-04,80.4,9.09,7.72,6.04,9.53,82.05,1012.06,13.68,194.44,0.2,25598.19,249.24,5.95
Mayo,BELMULLET,1996-05,69.4,9.68,7.87,5.64,9.33,76.86,1014.22,12.15,142.04,0.35,36444.62,393.91,5.03
Mayo,BELMULLET,1996-06,50.0,13.07,11.3,9.61,12.04,80.13,1019.49,13.93,198.0,0.31,32479.17,321.65,5.57
Mayo,BELMULLET,1996-07,71.9,14.34,12.99,11.83,14.0,85.4,1017.66,11.5,235.34,0.16,25225.4,179.49,6.49
Mayo,BELMULLET,1996-08,101.8,14.68,13.25,12.04,14.17,84.61,1014.08,11.74,233.45,0.17,31877.96,185.78,6.28
Mayo,BELMULLET,1996-09,50.1,14.23,12.69,11.34,13.6,83.39,1017.21,12.19,145.86,0.2,25482.92,388.81,5.11
Mayo,BELMULLET,1996-10,181.3,11.97,10.71,9.43,11.98,84.78,1006.53,17.09,227.93,0.08,22293.01,172.63,6.41
Mayo,BELMULLET,1996-11,164.2,7.88,6.64,4.95,8.99,82.34,1008.94,15.56,228.99,0.08,23871.39,286.5,5.78
Mayo,BELMULLET,1996-12,83.6,5.6,4.68,3.29,7.98,85.41,1014.26,11.92,151.48,0.08,24266.13,384.47,5.14
Mayo,BELMULLET,1997-01,40.3,5.25,4.38,3.05,7.87,86.01,1019.45,10.91,139.89,0.06,22002.42,268.97,5.96
Mayo,BELMULLET,1997-02,185.1,7.41,6.28,4.75,8.73,83.75,1002.52,22.06,234.18,0.07,19976.04,226.44,6.12
Mayo,BELMULLET,1997-03,70.4,8.84,7.84,6.63,9.9,86.42,1019.77,16.36,232.42,0.12,21603.63,240.31,6.1
Mayo,BELMULLET,1997-04,31.8,10.35,9.39,8.38,11.12,88.06,1022.05,10.7,166.42,0.15,26491.94,245.42,6.07
Mayo,BELMULLET,1997-05,91.2,12.03,10.61,9.26,11.89,84.21,1012.54,11.12,170.85,0.29,24535.35,350.21,5.23
Mayo,BELMULLET,1997-06,96.6,13.13,11.31,9.56,12.04,79.7,1010.68,13.25,136.43,0.22,31713.19,256.97,6.0
Mayo,BELMULLET,1997-07,108.6,14.93,13.89,13.04,15.13,88.88,1017.48,11.98,213.91,0.18,25672.72,215.18,6.27
Mayo,BELMULLET,1997-08,95.4,16.27,14.93,13.92,16.03,86.42,1012.0,11.95,187.15,0.19,27368.55,239.74,5.96
Mayo,BELMULLET,1997-09,105.9,14.01,12.5,11.18,13.39,83.49,1018.39,13.04,190.93,0.14,22468.47,230.44,6.08
Mayo,BELMULLET,1997-10,120.0,11.25,10.13,8.96,11.69,86.17,1014.57,11.96,163.37,0.12,22430.91,327.56,5.44
Mayo,BELMULLET,1997-11,128.3,9.4,8.54,7.56,10.59,88.56,996.71,11.81,177.9,0.05,22319.31,264.01,5.97
Mayo,BELMULLET,1997-12,192.3,7.99,6.86,5.39,9.16,84.09,1004.67,15.98,191.55,0.06,23968.41,366.37,5.41
Mayo,BELMULLET,1998-01,168.4,6.53,5.45,3.93,8.33,83.96,1007.23,15.44,179.46,0.06,22150.54,304.08,5.77
Mayo,BELMULLET,1998-02,111.1,9.03,8.04,6.81,10.12,86.3,1016.99,19.04,230.4,0.06,19157.29,176.04,6.53
Mayo,BELMULLET,1998-03,85.4,8.97,7.87,6.53,9.85,85.2,1018.29,12.22,231.61,0.08,24230.38,157.27,6.72
Mayo,BELMULLET,1998-04,82.2,8.09,6.71,4.95,8.87,81.1,1001.9,13.66,151.47,0.25,29344.44,295.41,5.49
Mayo,BELMULLET,1998-05,37.2,11.99,10.45,8.92,11.51,82.13,1019.7,10.79,175.47,0.22,27311.69,289.47,5.83
Mayo,BELMULLET,1998-06,110.9,13.14,11.78,10.54,12.83,84.63,1010.53,11.95,193.15,0.24,28351.39,219.44,6.13
Mayo,BELMULLET,1998-07,98.4,13.98,12.8,11.78,13.88,86.89,1012.27,12.69,239.8,0.11,23879.3,113.48,6.91
Mayo,BELMULLET,1998-08,126.4,14.87,13.7,12.71,14.81,87.4,1016.81,13.66,222.78,0.16,24527.82,150.27,6.59
Mayo,BELMULLET,1998-09,47.4,14.43,13.01,11.8,14.01,84.74,1007.58,12.02,198.81,0.17,26394.44,277.85,5.6
Mayo,BELMULLET,1998-10,160.8,11.3,9.88,8.35,11.2,82.61,1009.6,14.72,214.06,0.14,23617.61,288.19,5.71
Mayo,BELMULLET,1998-11,161.4,8.97,7.8,6.38,9.75,84.22,1012.27,15.52,210.12,0.06,22934.03,282.86,5.92
Mayo,BELMULLET,1998-12,145.3,8.01,6.91,5.5,9.23,84.63,1008.72,16.91,203.91,0.04,22356.05,274.12,5.86
Mayo,BELMULLET,1999-01,160.4,6.86,6.03,4.93,8.82,87.94,1004.28,16.44,223.7,0.05,21940.05,252.74,5.97
Mayo,BELMULLET,1999-02,85.6,7.79,6.87,5.68,9.29,86.84,1017.75,16.9,242.46,0.05,21804.61,158.72,6.5
Mayo,BELMULLET,1999-03,94.2,7.83,6.52,4.78,8.77,81.68,1008.69,15.09,208.1,0.17,26701.61,311.41,5.71
Mayo,BELMULLET,1999-04,101.1,9.49,8.2,6.64,10.01,82.97,1010.37,14.44,184.17,0.18,25482.5,280.73,5.92
Mayo,BELMULLET,1999-05,49.8,11.93,10.38,8.79,11.42,81.71,1012.57,12.55,163.41,0.19,27172.72,233.49,6.13
Mayo,BELMULLET,1999-06,74.1,12.54,11.0,9.48,11.98,82.17,1016.4,10.87,234.82,0.2,31879.58,199.88,6.28
Mayo,BELMULLET,1999-07,62.1,15.5,13.99,12.77,14.88,84.49,1016.37,11.66,190.62,0.2,28541.8,171.85,6.4
Mayo,BELMULLET,1999-08,125.9,15.57,14.01,12.72,14.85,83.71,1011.25,11.46,151.02,0.19,29258.6,257.78,5.95
Mayo,BELMULLET,1999-09,124.2,14.03,12.79,11.68,13.92,86.26,1002.33,13.38,193.78,0.15,25002.08,217.28,6.07
Mayo,BELMULLET,1999-10,74.7,11.53,10.28,8.96,11.62,84.72,1010.2,15.39,187.08,0.11,22257.12,268.01,5.9
Mayo,BELMULLET,1999-11,168.7,9.31,8.2,6.9,10.08,85.3,1019.46,13.93,205.08,0.06,23472.08,200.29,6.37
Mayo,BELMULLET,1999-12,257.1,6.79,5.65,4.05,8.31,83.11,1003.89,17.89,238.99,0.02,22301.75,228.73,6.06
Mayo,BELMULLET,2000-01,105.6,7.22,6.34,5.16,8.95,87.19,1021.78,15.59,198.79,0.05,23191.4,203.92,6.31
Mayo,BELMULLET,2000-02,153.2,7.54,6.41,4.88,8.81,83.75,1010.74,20.4,235.3,0.07,20737.5,257.39,6.01
Mayo,BELMULLET,2000-03,44.0,8.49,7.63,6.56,9.87,88.12,1021.68,12.99,201.57,0.1,23064.65,206.85,6.43
Mayo,BELMULLET,2000-04,83.1,7.82,6.56,4.93,8.83,82.6,1006.11,14.66,113.93,0.21,29276.39,260.34,5.86
Mayo,BELMULLET,2000-05,44.7,11.23,9.65,8.01,10.83,81.31,1014.34,12.68,175.15,0.31,30792.07,343.32,5.35
Mayo,BELMULLET,2000-06,51.1,13.27,11.89,10.63,12.93,84.56,1015.18,12.56,173.26,0.18,26654.58,161.8,6.48
Mayo,BELMULLET,2000-07,34.0,15.55,13.99,12.73,14.84,83.9,1015.64,10.25,169.13,0.19,33277.28,195.09,6.21
Mayo,BELMULLET,2000-08,129.2,15.09,13.76,12.69,14.79,86.22,1015.05,10.63,200.86,0.24,31113.84,309.34,5.57
